Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,wholeAddressShotgun
1510813,"September 23, 2019",Pennsylvania,Pottstown,King St and Scott St,0,1,"King St and Scott St, Pottstown, Pennsylvania"
1512648,"September 22, 2019",Illinois,Joliet,900 block of Eastport Ave,0,0,"900 block of Eastport Ave, Joliet, Illinois"
1511007,"September 22, 2019",Michigan,Mount Clemens,Court St,0,1,"Court St, Mount Clemens, Michigan"
1510954,"September 22, 2019",Nebraska,Lincoln,1700 block of N 84th St,0,0,"1700 block of N 84th St, Lincoln, Nebraska"
1510778,"September 22, 2019",Kentucky,Manchester,Rices Fork Rd and US 421,0,1,"Rices Fork Rd and US 421, Manchester, Kentucky"
1509810,"September 22, 2019",Utah,Springville,1600 S US-89,0,1,"1600 S US-89, Springville, Utah"
1509685,"September 22, 2019",Wisconsin,Milwaukee,N 55th St and W Keefe Ave,0,1,"N 55th St and W Keefe Ave, Milwaukee, Wisconsin"
1515807,"September 22, 2019",Oklahoma,Enid,200 block of E Cherry Ave,0,0,"200 block of E Cherry Ave, Enid, Oklahoma"
1508924,"September 21, 2019",Florida,Spring Hill,16244 Albright Rd,0,1,"16244 Albright Rd, Spring Hill, Florida"
1513733,"September 21, 2019",Iowa,Ossian,2000 block of 127th St,0,0,"2000 block of 127th St, Ossian, Iowa"
1508834,"September 20, 2019",Florida,Pensacola,Mobile Hwy and Shoemaker St,0,1,"Mobile Hwy and Shoemaker St, Pensacola, Florida"
1508987,"September 20, 2019",Delaware,Seaford,700 block of Atlanta Rd,0,0,"700 block of Atlanta Rd, Seaford, Delaware"
1508781,"September 20, 2019",New York,Bay Shore,5 Grace St,0,0,"5 Grace St, Bay Shore, New York"
1507747,"September 19, 2019",New York,Elmsford,56 S Stone Ave,0,0,"56 S Stone Ave, Elmsford, New York"
1507666,"September 19, 2019",Missouri,Saint Louis,500 block of Chester St,0,0,"500 block of Chester St, Saint Louis, Missouri"
1509813,"September 19, 2019",Arkansas,Briarcliff,Ben Nevis Drive,0,0,"Ben Nevis Drive, Briarcliff, Arkansas"
1520187,"September 19, 2019",Arkansas,Little Rock,Wedington Dr,0,0,"Wedington Dr, Little Rock, Arkansas"
1508555,"September 18, 2019",California,Ventura,600 block of Thompson Blvd,0,0,"600 block of Thompson Blvd, Ventura, California"
1506412,"September 18, 2019",Maryland,Pasadena,1400 block of Orr Ct,0,0,"1400 block of Orr Ct, Pasadena, Maryland"
1508028,"September 18, 2019",Louisiana,Cameron,N/A,0,0,"N/A, Cameron, Louisiana"
1617046,"September 17, 2019",New York,Jefferson (county),N/A,1,0,"N/A, Jefferson (county), New York"
1504753,"September 16, 2019",Arkansas,West Memphis,Broadway Ave and S 21st St,0,0,"Broadway Ave and S 21st St, West Memphis, Arkansas"
1505188,"September 15, 2019",Texas,Justin,100 block of N Snyder Ave,1,0,"100 block of N Snyder Ave, Justin, Texas"
1506001,"September 15, 2019",Iowa,Cedar Falls,804 Walnut St,0,0,"804 Walnut St, Cedar Falls, Iowa"
1507930,"September 15, 2019",Oklahoma,Mcalester,N/A,0,0,"N/A, Mcalester, Oklahoma"
1512571,"September 14, 2019",Texas,Longview,1200 block of Lesley Ln,0,0,"1200 block of Lesley Ln, Longview, Texas"
