Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,wholeAddressRifle
1490973,26-Aug-19,Vermont,Brattleboro,Lynwood Dr,0,0,"Lynwood Dr, Brattleboro, Vermont"
1498422,26-Aug-19,Illinois,Kewanee,900 block of N Main St,0,0,"900 block of N Main St, Kewanee, Illinois"
1495403,26-Aug-19,Georgia,Athens,N/A,0,0,"N/A, Athens, Georgia"
1488733,26-Aug-19,Texas,Fort Worth,5128 Bonnell Ave,1,0,"5128 Bonnell Ave, Fort Worth, Texas"
1490615,25-Aug-19,Wisconsin,Dousman,Co Rd Z,0,0,"Co Rd Z, Dousman, Wisconsin"
1490779,25-Aug-19,Texas,Houston,TX-249 and Bammel North Houston Rd,0,0,"TX-249 and Bammel North Houston Rd, Houston, Texas"
1490003,24-Aug-19,Ohio,Youngstown,E Montrose St,0,0,"E Montrose St, Youngstown, Ohio"
1489858,24-Aug-19,South Carolina,Bowman,Charleston Hwy,0,0,"Charleston Hwy, Bowman, South Carolina"
1487603,24-Aug-19,Illinois,Chicago,8800 block of S Kenwood Ave,0,0,"8800 block of S Kenwood Ave, Chicago, Illinois"
1487597,24-Aug-19,New Hampshire,Lancaster,Portland St,0,0,"Portland St, Lancaster, New Hampshire"
1489587,24-Aug-19,Kansas,Leavenworth,2940 Ralph Bunche Dr,0,0,"2940 Ralph Bunche Dr, Leavenworth, Kansas"
1487345,23-Aug-19,New York,Elmira,Baldwin St and E Second St,0,0,"Baldwin St and E Second St, Elmira, New York"
1486232,23-Aug-19,Texas,Houston,4900 block of Southwind St,3,2,"4900 block of Southwind St, Houston, Texas"
1491138,23-Aug-19,New York,Buffalo (Williamsville),Main St,0,0,"Main St, Buffalo (Williamsville), New York"
1489287,23-Aug-19,New Jersey,Newark,84 Monroe St,0,0,"84 Monroe St, Newark, New Jersey"
1486112,23-Aug-19,Illinois,East Saint Louis,1426 N 42nd St,1,0,"1426 N 42nd St, East Saint Louis, Illinois"
1486141,23-Aug-19,California,Sacramento,10000 block of Clover Ranch Dr,1,2,"10000 block of Clover Ranch Dr, Sacramento, California"
1486592,23-Aug-19,Indiana,Sullivan,478 W Co Rd 75 S,0,0,"478 W Co Rd 75 S, Sullivan, Indiana"
